response_date,student_id,school_name,service_evaluated,qualification_service,reason
2023-05-22,S-09471,Riverside Academy,professor teachings,9,"Professors explain things clearly most days, but a few lectures were rushed and left me a bit lost."
2023-11-02,S-20311,Hillcrest School,sports facilities,6,"Facilities are decent, but the gym air could be better; machines sometimes out of order."
2024-01-18,S-37590,Maple Leaf School,extracurricular activities,7,"There are clubs, yet schedules clash with exams, making it hard to join more than one."
2024-02-20,S-48201,Sunrise Institute,personal motivation,8,"Motivation boosts when teachers show real interest in students’ goals, not just grades."
2024-04-09,S-56012,Lakeside College,school climate,7,"Overall vibe is positive, but there’s drama in some groups that can distract during study time."
2024-06-14,S-79531,Pine Valley School,communication with school,5,Info flow not always consistent; messages sometimes arrive late or get lost in inboxes.
2024-08-29,S-82174,Cedar Grove School,academic quality,9,"The syllabus is clear and the homework challenging in a good way, teachers push you to think."
2024-09-03,S-91304,Silver Oak School,professor teachings,10,Lecturers are engaging and patient; I actually enjoy attending class most days.
2024-10-11,S-03421,Blue Horizon School,sports facilities,4,"Gym equipment is outdated and the facilities feel cramped, not ideal for serious practice."
2023-12-01,S-16783,Greenwood High School,extracurricular activities,6,Clubs are there but some have long waiting lists and organizers aren’t responsive.
2023-12-18,S-27654,Riverside Academy,personal motivation,7,People around me keep me going; some teachers mistakenly think you’re not trying when you are.
2024-02-02,S-39876,Hillcrest School,school climate,6,"There’s a generally friendly vibe, but the cafeteria noise makes it hard to focus."
2024-03-28,S-51277,Maple Leaf School,communication with school,6,"Admins are reachable but replies arrive late, leaving questions hanging."
2024-05-19,S-63012,Sunrise Institute,academic quality,5,Sometimes the lectures feel generic and not tailored to what we actually need.
2024-07-07,S-74923,Lakeside College,professor teachings,8,"Professors know their stuff, but a few skim the surface during midterms."
2024-08-21,S-12099,Pine Valley School,sports facilities,9,"The gym is well equipped and clean, great space for practice and teams."
2024-10-29,S-41102,Cedar Grove School,extracurricular activities,8,"There’s a club for almost everything, which is amazing, though some events conflict with sports schedules."
2025-01-14,S-23818,Silver Oak School,communication with school,7,"Staff are friendly, but sometimes directives aren’t as clear as they should be."
2023-03-15,S-10425,Greenwood High School,academic quality,8,"Overall the curriculum is solid, but assessments feel pressure-filled and not always aligned with what we actually learn in class."
2023-04-02,S-11091,Riverside Academy,professor teachings,9,"Professors explain concepts clearly most of the time, though a few slides could use more real-world examples to connect theory with practice."
2023-05-20,S-20314,Hillcrest School,sports facilities,6,"The gym is decent, but the basketball court is sometimes crowded and the equipment feels a bit dated."
2024-01-11,S-30972,Maple Leaf School,extracurricular activities,7,"There are enough clubs, but signing up can be confusing and some activities clash with study time."
2024-02-18,S-40291,Sunrise Institute,personal motivation,8,"The counselors motivate me to set goals, though the workload makes it hard to stay excited about projects."
2024-03-25,S-51742,Lakeside College,school climate,7,"The vibe is generally positive, but there are moments of tension during exams that add unnecessary stress."
2024-04-09,S-61284,Pine Valley School,communication with school,6,"Messages sometimes get delayed and important info gets buried in email threads, which is frustrating."
2024-05-14,S-71906,Cedar Grove School,academic quality,9,Course materials are rigorous and helpful; feedback on assignments is timely and pretty insightful.
2024-06-01,S-82573,Silver Oak School,professor teachings,5,"Some teachers are engaging, others seem to rush through topics, leaving me with questions."
2025-01-27,S-93641,Blue Horizon School,sports facilities,7,"Facility updates are noticeable, but the track lanes need resurfacing and the gym could use better cardio machines."
2025-02-13,S-104682,Greenwood High School,extracurricular activities,8,"There are clubs for almost everything, yet promo events are sporadic which makes planning hard."
2025-03-08,S-115493,Riverside Academy,personal motivation,7,"Staff encouragement is good, but sometimes the day-to-day tasks steal time from personal goals."
2025-04-22,S-126704,Hillcrest School,school climate,8,"Overall supportive environment, but a couple of instructors could be more approachable with concerns."
2025-05-07,S-137809,Maple Leaf School,communication with school,7,"School notices reach me, yet discussions about issues happen too late to affect decisions."
2023-07-19,S-148920,Sunrise Institute,academic quality,6,"Coursework is fine, but the grading rubric sometimes feels unfairly strict."
2023-08-30,S-159310,Lakeside College,professor teachings,9,"Lectures are engaging and the professors are patient with questions, really helps my understanding."
2023-09-12,S-167204,Pine Valley School,sports facilities,6,Facilities are decent but the weight room smells funny and some machines are out of order.
2024-08-06,S-178940,Cedar Grove School,extracurricular activities,7,Clubs are fun but the signup process is a nightmare and info changes without notice.
2024-09-11,S-189321,Silver Oak School,personal motivation,8,"I like how mentors push me to set steps, even when I procrastinate."
2024-10-29,S-199503,Blue Horizon School,school climate,7,Mostly supportive but there are blind spots: some students feel unseen during class discussions.
2023-03-12,S-10457,Greenwood High School,academic quality,8,"overall the courses are strong, but sometimes the material moves too fast for new students."
2023-04-02,S-20483,Riverside Academy,professor teachings,9,"the professor explains things clearly most of the time, but a few lectures could use real-world examples."
2024-09-15,S-31876,Hillcrest School,sports facilities,7,"gym has decent gear, yet the courts feel dated and crowded after lunch."
2023-11-21,S-42011,Maple Leaf School,extracurricular activities,8,"clubs are varied and accessible, though some events clash with study sessions."
2025-02-07,S-55123,Sunrise Institute,personal motivation,6,"i try, but sometimes the school push feels generic and token."
2023-07-19,S-67234,Lakeside College,school climate,7,"the vibe is friendly, but there are pockets of stress during midterms."
2024-05-28,S-78112,Pine Valley School,communication with school,8,"emails are answered fairly quick, but I wish they would use more updates via app."
2024-12-01,S-89945,Cedar Grove School,academic quality,9,courses challenge me in a good way; the teachers push us to think critically.
2023-10-10,S-93332,Silver Oak School,professor teachings,5,"classroom discussions are okay, but the lecture pacing was off this term."
2024-01-18,S-10244,Blue Horizon School,sports facilities,6,"fields are fine for practice, but gym equipment is sometimes missing parts."
2023-08-03,S-11258,Greenwood High School,extracurricular activities,9,there are cool clubs that fit my schedule and the mentors are supportive.
2024-06-09,S-22377,Riverside Academy,personal motivation,7,"incentives help a bit, but I crave more personalized guidance from counselors."
2024-09-30,S-33466,Hillcrest School,school climate,8,"students feel safe and heard, though there are occasional cliques in some halls."
2023-05-14,S-44564,Maple Leaf School,communication with school,7,messages reach me but sometimes I miss important notices.
2024-03-22,S-55677,Sunrise Institute,academic quality,6,"the syllabus is solid, but some topics were rushed near exams."
2023-12-04,S-66743,Lakeside College,professor teachings,10,professors go beyond the book; they make topics feel alive.
2025-01-30,S-77889,Pine Valley School,sports facilities,8,"new gym setup is great, but the track is a bit narrow for large groups."
2023-09-25,S-88990,Cedar Grove School,extracurricular activities,6,i joined a club but it didn’t meet my expectations this term.
2024-02-11,S-99101,Silver Oak School,personal motivation,7,"the vibe here helps me keep going, though i wish for more peer support groups."
2024-08-17,S-20212,Blue Horizon School,communication with school,9,"app notifications are on point and counselors reply fast, love the transparency."
2023-02-14,S-10234,Greenwood High School,academic quality,8,"The curriculum is solid but the pacing sometimes feels rushed, especially around finals weeks."
2023-03-09,S-10487,Riverside Academy,professor teachings,9,"Professors explain things clearly most days, but a few lectures drifted off-topic and got hard to follow."
2023-04-22,S-10726,Hillcrest School,sports facilities,6,Facilities are decent but the gym mats are worn out and the weight room is a bit cramped.
2023-05-15,S-11003,Maple Leaf School,extracurricular activities,7,"There are many clubs, yet the sign-up process is slow and a few activities overlap schedules."
2023-06-02,S-11271,Sunrise Institute,personal motivation,8,Feeling more motivated lately thanks to mentors who check in and push us to set better goals.
2023-07-19,S-11544,Lakeside College,school climate,7,"The vibe is generally positive, but a couple teachers seem tense and that rubs off on the class."
2023-08-11,S-11860,Pine Valley School,communication with school,5,"Messages get missed often; I send questions and wait days for a reply, kinda frustrating."
2023-09-30,S-12198,Cedar Grove School,academic quality,9,"Challenging courses, but the homework helps me actually learn and not just chase grades."
2023-10-24,S-12451,Silver Oak School,professor teachings,10,The lectures are engaging and thought-provoking; I leave class with new ideas every time.
2023-11-07,S-12722,Blue Horizon School,sports facilities,4,The courts are cracked and the locker rooms smell odd—needs a serious refresh.
2024-01-14,S-12989,Greenwood High School,extracurricular activities,8,"I joined robotics and debate, both are well-organized, though inter-club days could be better planned."
2024-02-28,S-13241,Riverside Academy,personal motivation,6,"Not every day is the same; some days I feel stuck, then others I suddenly get a burst of energy."
2024-03-18,S-13576,Hillcrest School,school climate,6,Some classrooms feel cold and formal; a warmer atmosphere would help participation.
2024-04-09,S-13820,Maple Leaf School,communication with school,7,"Emails usually get responses, but follow-ups after meetings could be quicker."
2024-05-25,S-14067,Sunrise Institute,academic quality,7,"Overall good, but a few topics in physics need more real-world examples."
2024-06-16,S-14312,Lakeside College,professor teachings,5,"Some professors speak fast, and it’s hard to take notes at the same time."
2024-07-31,S-14588,Pine Valley School,sports facilities,9,"The gym and track are modern, and booking courts is easy most days."
2024-08-22,S-14840,Cedar Grove School,extracurricular activities,6,Clubs are interesting but the schedule clashes with exams sometimes.
2024-09-14,S-15107,Silver Oak School,communication with school,8,Staff are reachable and friendly; issues get resolved after a short chat.
2024-10-09,S-15363,Blue Horizon School,academic quality,7,"The math track is solid, but I wish algebra topics were introduced earlier."
2024-11-03,S-15629,Greenwood High School,professor teachings,8,"Some lectures are inspiring; others are a bit monotone, but the content is valuable."
2023-03-15,S-00001,Greenwood High School,academic quality,9,The curriculum is solid and helps me think critically.
2023-04-22,S-00002,Riverside Academy,professor teachings,8,"Professors explain concepts clearly most days, but a few lectures feel rushed."
2023-05-18,S-00003,Hillcrest School,sports facilities,7,"The gym is decent, but the basketball courts get crowded during after-school."
2023-06-10,S-00004,Maple Leaf School,extracurricular activities,8,"There are many clubs, yet it takes forever to get approvals for new ones."
2023-07-02,S-00005,Sunrise Institute,personal motivation,6,"Some days I feel inspired, other days the workload drains me."
2023-08-19,S-00006,Lakeside College,school climate,9,The vibe is supportive; classmates look out for each other and teachers are approachable.
2023-09-11,S-00007,Pine Valley School,communication with school,7,"Emails are answered, but important reminders sometimes slip through the cracks."
2023-10-25,S-00008,Cedar Grove School,academic quality,8,"Course content is relevant, though some textbooks feel a bit outdated."
2023-11-29,S-00009,Silver Oak School,professor teachings,9,Lectures are engaging and the professor checks for understanding regularly.
