response_date,student_id,school_name,service_evaluated,qualification_service,reason
3/7/2024,S-52814,Maple Leaf School,communication with school,7,"Emails reach admin, but replies take a bit longer than expected."
4/18/2024,S-64051,Sunrise Institute,academic quality,10,Curriculum is challenging and pushes me to think deeper—love the challenge.
5/23/2024,S-74592,Lakeside College,professor teachings,8,Lectures are engaging when prepared; some topics have jargon that makes it tricky.
6/9/2024,S-85273,Pine Valley School,sports facilities,5,"Gym is outdated and equipment doesn’t always work, could use some upgrades."
7/31/2024,S-96431,Cedar Grove School,extracurricular activities,9,There are cool options; joined a debate club and it’s awesome.
8/19/2024,S-10568,Silver Oak School,personal motivation,6,"Motivation varies day to day; some days I feel inspired, others I’m lazy."
9/11/2024,S-11827,Blue Horizon School,school climate,7,"Overall vibe is friendly, but the front desk could be more helpful."
10/2/2024,S-22184,Greenwood High School,communication with school,9,Messages are clear and timely; I value the transparency from admin.
11/28/2024,S-33297,Riverside Academy,academic quality,7,"Coursework is challenging, but some assignments feel repetitive and long."
2/14/2023,S-10001,Greenwood High School,academic quality,8,"Classes are solid, but some topics move a bit too fast for me."
3/7/2023,S-10002,Riverside Academy,professor teachings,9,"Professors explain things clearly most days, though a few lectures run long."
4/22/2023,S-10003,Hillcrest School,sports facilities,7,"The gym is a bit tight, equipment is decent but not the latest."
5/18/2023,S-10004,Maple Leaf School,extracurricular activities,6,"There are clubs, but I’d like more student-led options."
6/30/2023,S-10005,Sunrise Institute,personal motivation,8,"I stay motivated thanks to friends, though counseling could be better."
7/15/2023,S-10006,Lakeside College,school climate,7,"Overall vibes are good, but some admin stuff feels unfriendly."
8/22/2023,S-10007,Pine Valley School,communication with school,8," Emails get answered, but some issues take a while to sort out."
9/11/2023,S-10008,Cedar Grove School,academic quality,9,Coursework is tough but fair; I’m learning a lot.
10/5/2023,S-10009,Silver Oak School,professor teachings,7,"Lectures are engaging overall, a few speakers could add more examples."
11/29/2023,S-10010,Blue Horizon School,sports facilities,6,"Fields are okay, but the courts need resurfacing soon."
1/12/2024,S-10011,Greenwood High School,extracurricular activities,9,There’s a club for almost everything; I’ve found my people here.
2/20/2024,S-10012,Riverside Academy,personal motivation,7,"Friends drive my motivation; teachers push me too, but I could use more support sometimes."
3/30/2024,S-10013,Hillcrest School,school climate,8,"The place is friendly, yet lunchtime crowds can be a bit much."
4/14/2024,S-10014,Maple Leaf School,communication with school,9,"Staff listen and are approachable, though miscommunications happen now and then."
5/21/2024,S-10015,Sunrise Institute,academic quality,6,"The syllabus covers basics well, but the way assessments are set can feel inconsistent."
6/2/2024,S-10016,Lakeside College,professor teachings,8,"Usually clear explanations, some demos would make things click more."
7/19/2024,S-10017,Pine Valley School,sports facilities,7,"Good access to facilities, though a few pieces of equipment are out of order."
8/26/2024,S-10018,Cedar Grove School,extracurricular activities,8,I got involved in robotics and debate and both are well supported here.
9/13/2024,S-10019,Silver Oak School,personal motivation,9,I stay motivated because teachers believe in me; that really helps.
10/7/2024,S-10020,Blue Horizon School,communication with school,6,"Messages sometimes disappear, but scheduled meetings still help a lot."
2/14/2023,S-00001,Greenwood High School,academic quality,8,"Solid coursework overall, though a few topics seemed rushed and dense."
3/21/2023,S-00002,Riverside Academy,professor teachings,9,"Teachers explain concepts clearly most days, though a few sessions felt flat and skipped examples."
4/18/2023,S-00003,Hillcrest School,sports facilities,7,"The gym has solid equipment, but the court surfaces could use maintenance; the gaming courts are pretty nice though."
5/2/2023,S-00004,Maple Leaf School,extracurricular activities,6,"There are clubs I enjoy, but reminders and scheduling can be inconsistent, which makes it hard to commit."
6/11/2023,S-00005,Sunrise Institute,personal motivation,8,Motivational talks help me push through; some days I still feel a bit overwhelmed.
7/19/2023,S-00006,Lakeside College,school climate,7,"The vibe is generally friendly, but the halls feel crowded during lunch."
8/23/2023,S-00007,Pine Valley School,communication with school,8,"Emails get answered quickly, but sometimes important updates get buried in the inbox."
9/30/2023,S-00008,Cedar Grove School,academic quality,9,"The curriculum is rigorous and relevant, though a few topics could use more real-world examples."
11/15/2023,S-00009,Silver Oak School,professor teachings,6,Lectures are okay but a bit monotone; it needs more interactive activities.
1/8/2024,S-00010,Blue Horizon School,sports facilities,8,"Sports facilities are solid, the track is smooth and the weight room is well-stocked."
2/14/2024,S-00011,Greenwood High School,extracurricular activities,7,"There are decent options, but some interesting clubs have limited meeting times."
3/7/2024,S-00012,Riverside Academy,personal motivation,7,"I get encouraged by peers, though I still struggle with procrastination on big assignments."
4/22/2024,S-00013,Hillcrest School,school climate,9,School feels inclusive and supportive; a few new students may still feel invisible.
5/30/2024,S-00014,Maple Leaf School,communication with school,6,Notifications sometimes miss the mark; need clearer channels for urgent matters.
7/9/2024,S-00015,Sunrise Institute,academic quality,8,"Coursework lines up with what we’re learning in practice, but some assessments could be clearer."
8/16/2024,S-00016,Lakeside College,professor teachings,9,"Professors are engaging and available after class, which helps with tough topics."
9/27/2024,S-00017,Pine Valley School,sports facilities,5,"Facilities are okay, though the gym gets crowded and some equipment wears out."
10/18/2024,S-00018,Cedar Grove School,extracurricular activities,7,Clubs are fine; I’d like more student-led events and chances to take the lead.
11/29/2024,S-00019,Silver Oak School,personal motivation,8,"Mentor sessions boost motivation, though energy fades a bit during midterms."
2/4/2025,S-00020,Blue Horizon School,communication with school,7,"Messages usually get through, but occasional delays throw off schedules."
2/14/2023,S-20485,Greenwood High School,academic quality,8,"Overall the coursework is solid, but some topics feel rushed in the midterms."
3/22/2023,S-16893,Riverside Academy,professor teachings,9,"Most lectures explain ideas well, though a few sessions were a bit dry and skipped examples."
5/11/2023,S-30122,Hillcrest School,sports facilities,6,Gym is decent but crowded after 5 PM and some gear needs fixing.
6/30/2023,S-40211,Maple Leaf School,extracurricular activities,7,"There are clubs I enjoy, yet leadership opportunities are limited and need more promotion."
9/4/2023,S-55890,Sunrise Institute,personal motivation,8,"Teachers push us to think for ourselves, but goals aren’t always clear or connected to real life."
11/19/2023,S-77321,Lakeside College,school climate,7,"Overall the environment is good, though some parts of campus feel neglected and loud."
1/15/2024,S-10192,Pine Valley School,communication with school,5, Sometimes replies take a while and the portal isn’t always reliable.
3/3/2024,S-55671,Cedar Grove School,academic quality,9,Course materials are solid and the pacing fits most of the time.
4/27/2024,S-43058,Silver Oak School,professor teachings,6,"Lectures are engaging when there are real-world examples, but some slides are too text-heavy."
6/10/2024,S-28947,Blue Horizon School,sports facilities,8,"Field access is solid and the gym has updated machines, but schedules could be clearer."
7/19/2024,S-90231,Greenwood High School,extracurricular activities,9,"There’s a club for nearly everything and leadership roles pop up often, which is awesome."
9/5/2024,S-74512,Riverside Academy,personal motivation,6,"The guidance counselor is helpful, though some students seem unsure about goals and need more direction."
10/29/2024,S-33214,Hillcrest School,school climate,7,"Feels supportive most days, but cafeteria noise can be overwhelming at lunch."
12/8/2024,S-57863,Maple Leaf School,communication with school,4,Emails can get lost; important updates arrive late and with typos.
2/18/2025,S-42091,Sunrise Institute,academic quality,8,"Coursework is challenging but fair, and the feedback helps me improve steadily."
3/12/2025,S-66752,Lakeside College,professor teachings,7,"Professors are supportive, but a few could mix in more interactive activities during lectures."
4/25/2025,S-21108,Pine Valley School,sports facilities,5,"The sports spaces get crowded at peak times, and the washing facilities aren’t always working."
5/9/2025,S-15500,Cedar Grove School,extracurricular activities,8,"There’s a good mix of clubs, though some events aren’t advertised well and are easy to miss."
6/18/2025,S-90876,Silver Oak School,personal motivation,9,"I’m encouraged to pursue ambitious projects, which pushes me to work harder."
3/15/2023,S-04231,Greenwood High School,academic quality,8,"Overall quality is solid, but some lectures feel rushed and could use deeper explanations."
5/22/2023,S-11876,Riverside Academy,professor teachings,9,"The professor explains tough concepts well, but a few classes drag a bit during mid-term week."
11/2/2023,S-90521,Hillcrest School,sports facilities,7,"Facilities are decent, but the gym gets crowded; an updated schedule would help."
1/18/2024,S-32058,Maple Leaf School,extracurricular activities,8,"There are plenty of options, but some clubs lack proper supervision."
4/9/2024,S-76432,Sunrise Institute,personal motivation,6,"Motivation varies by topic; some days I’m really into it, other days I’m less engaged."
7/30/2024,S-50219,Lakeside College,school climate,7,"The vibe is friendly, though a few corridors feel tense during peak hours."
9/12/2024,S-29104,Pine Valley School,communication with school,8,"Info reaches me quickly when needed, but transition messages sometimes mix up deadlines."
10/25/2024,S-67340,Cedar Grove School,academic quality,9,Lectures are clear and structured; the support materials are very helpful.
2/14/2025,S-78421,Silver Oak School,professor teachings,6,"Some instructors are great, others could be more approachable in office hours."
4/1/2025,S-11077,Blue Horizon School,sports facilities,8,"Play spaces are well maintained, though equipment could be updated more often."
8/19/2023,S-63411,Greenwood High School,extracurricular activities,7,"Clubs exist for many interests, but communication about events is inconsistent."
12/5/2023,S-21239,Riverside Academy,personal motivation,7,"Some weeks I feel driven, other weeks I struggle with time management."
3/28/2024,S-99821,Hillcrest School,school climate,8,"There’s generally a respectful atmosphere, though sometimes rumors create a negative vibe."
6/11/2024,S-32104,Maple Leaf School,communication with school,9,"Messages come through fast and clear, love the online portal’s updates."
8/27/2024,S-55092,Sunrise Institute,academic quality,7,Some courses are rigorous but fair; a bit more practical examples would help.
1/9/2025,S-40831,Lakeside College,professor teachings,10,"Instructors are phenomenal—clear, patient, and genuinely engaged with students."
3/16/2025,S-71920,Pine Valley School,sports facilities,5,"Facilities feel dated, and repairs take forever when things break."
5/3/2025,S-13372,Cedar Grove School,extracurricular activities,8,"There’s a club for every interest, though a few events aren’t easy to find or promote."
4/2/2023,S-88888,Blue Horizon School,personal motivation,7,"I’m usually motivated, but tight schedules make it hard to stay focused some days."
7/25/2023,S-67955,Silver Oak School,school climate,6,"The environment is okay, yet rumors and gossip sometimes spill into classes."
3/15/2023,S-04215,Greenwood High School,academic quality,8,"Classes are solid, but lectures can hurry through topics; more guided practice would help."
5/22/2023,S-10487,Riverside Academy,professor teachings,9,"Teachers know their stuff; explanations click most of the time. A couple of periods were rough, but I still learned a lot."
11/2/2023,S-23011,Hillcrest School,sports facilities,6,"Gym gear is decent, but some courts could use better upkeep; I still enjoy the games when things run smoothly."
1/17/2024,S-31570,Maple Leaf School,extracurricular activities,7,There’s a good mix of clubs; signing up could be less chaotic and more user-friendly.
2/9/2024,S-50123,Sunrise Institute,personal motivation,8,Counselors push you to set goals and follow through; I value the accountability.
3/30/2024,S-61234,Lakeside College,school climate,7,"Overall the vibe is friendly, though a few hallways get crowded and noisy during peak times."
4/18/2024,S-74002,Pine Valley School,communication with school,6,"Emails reach us, but replies can lag; some messages from teachers feel a bit cold."
5/20/2024,S-86019,Cedar Grove School,academic quality,9,"Courses are tough but the tests reflect what I actually learned, finally getting calculus."
7/11/2024,S-91234,Silver Oak School,professor teachings,5,"Some professors are engaging, others rushed; would be great to see more real-world examples."
8/28/2024,S-10243,Blue Horizon School,sports facilities,8,"Track and gym got better this year, running workouts are actually fun now."
9/14/2024,S-11345,Greenwood High School,extracurricular activities,6,Clubs exist but clash with study time; better scheduling would help a lot.
10/7/2024,S-24118,Riverside Academy,personal motivation,7,"Daily pep talks are nice, but I still get stuck sometimes; keep it up."
11/21/2024,S-34455,Hillcrest School,school climate,8,Overall a positive vibe most days; more inclusive events would help everyone feel involved.
1/9/2025,S-45566,Maple Leaf School,communication with school,7,"Admin info is clear, but responses slow when issues pop up."
2/28/2025,S-56677,Sunrise Institute,academic quality,10,I'm genuinely impressed by how deep topics are and how assignments build understanding.
3/19/2025,S-67788,Lakeside College,professor teachings,6,"Professors vary; some engage well, others drift; we need more consistency."
4/6/2025,S-78899,Pine Valley School,sports facilities,5,The science fields feel neglected; it's hard to stay motivated when things look worn down.
5/1/2025,S-89900,Cedar Grove School,extracurricular activities,9,"There are lots of activities, found a club I love, and I’m really enjoying it."
6/18/2025,S-90901,Silver Oak School,communication with school,7,"Staff are friendly and easy to reach, though sometimes follow-through falls short."
3/15/2023,S-10482,Greenwood High School,academic quality,8,"The core topics are solid, but pacing can be uneven and I end up catching up."
5/22/2023,S-09471,Riverside Academy,professor teachings,9,"Professors explain well most days, but a few lectures feel rushed and I’m a bit lost."
11/2/2023,S-20311,Hillcrest School,sports facilities,6,"Facilities are okay, but the gym air could be nicer and some machines aren’t working."
1/18/2024,S-37590,Maple Leaf School,extracurricular activities,7,"There are clubs, but schedules clash with exams, making it hard to join more than one."
2/20/2024,S-48201,Sunrise Institute,personal motivation,8,"Motivation grows when teachers show interest in our goals, not just grades."
4/9/2024,S-56012,Lakeside College,school climate,7,"Overall vibe is good, but some groups cause drama that distracts from study."
6/14/2024,S-79531,Pine Valley School,communication with school,5,Info flow isn’t always consistent; messages arrive late or get lost in inboxes.
8/29/2024,S-82174,Cedar Grove School,academic quality,9,"The syllabus is clear and the homework is challenging in a good way, pushing you to think."
9/3/2024,S-91304,Silver Oak School,professor teachings,10,Lecturers are engaging and patient; I actually enjoy attending class most days.
10/11/2024,S-03421,Blue Horizon School,sports facilities,4,"Gym equipment is outdated and the facilities feel cramped, not ideal for serious practice."
12/1/2023,S-16783,Greenwood High School,extracurricular activities,6,Clubs are there but some have long waiting lists and organizers aren’t responsive.
12/18/2023,S-27654,Riverside Academy,personal motivation,7,People around me keep me going; some teachers mistakenly think you’re not trying when you are.
2/2/2024,S-39876,Hillcrest School,school climate,6,"There’s a generally friendly vibe, but the cafeteria noise makes it hard to focus."
3/28/2024,S-51277,Maple Leaf School,communication with school,6,"Admins are reachable but replies arrive late, leaving questions hanging."
5/19/2024,S-63012,Sunrise Institute,academic quality,5,Sometimes the lectures feel generic and not tailored to what we actually need.
7/7/2024,S-74923,Lakeside College,professor teachings,8,"Professors know their stuff, but a few skim the surface during midterms."
8/21/2024,S-12099,Pine Valley School,sports facilities,9,"The gym is well equipped and clean, great space for practice and teams."
10/29/2024,S-41102,Cedar Grove School,extracurricular activities,8,"There’s a club for almost everything, which is amazing, though some events conflict with sports schedules."
1/14/2025,S-23818,Silver Oak School,communication with school,7,"Staff are friendly, but sometimes directives aren’t as clear as they should be."
3/15/2023,S-10425,Greenwood High School,academic quality,8,"Overall the curriculum is solid, but assessments feel pressure-filled and not always aligned with what we actually learn in class."
4/2/2023,S-11091,Riverside Academy,professor teachings,9,"Professors explain concepts clearly most of the time, though a few slides could use more real-world examples to connect theory with practice."
5/20/2023,S-20314,Hillcrest School,sports facilities,6,"The gym is decent, but the basketball court is sometimes crowded and the equipment feels a bit dated."
1/11/2024,S-30972,Maple Leaf School,extracurricular activities,7,"There are enough clubs, but signing up can be confusing and some activities clash with study time."
2/18/2024,S-40291,Sunrise Institute,personal motivation,8,"The counselors motivate me to set goals, though the workload makes it hard to stay excited about projects."
3/25/2024,S-51742,Lakeside College,school climate,7,"The vibe is generally positive, but there are moments of tension during exams that add unnecessary stress."
4/9/2024,S-61284,Pine Valley School,communication with school,6,"Messages sometimes get delayed and important info gets buried in email threads, which is frustrating."
5/14/2024,S-71906,Cedar Grove School,academic quality,9,Course materials are rigorous and helpful; feedback on assignments is timely and pretty insightful.
6/1/2024,S-82573,Silver Oak School,professor teachings,5,"Some teachers are engaging, others seem to rush through topics, leaving me with questions."
1/27/2025,S-93641,Blue Horizon School,sports facilities,7,"Facility updates are noticeable, but the track lanes need resurfacing and the gym could use better cardio machines."
2/13/2025,S-104682,Greenwood High School,extracurricular activities,8,"There are clubs for almost everything, yet promo events are sporadic which makes planning hard."
3/8/2025,S-115493,Riverside Academy,personal motivation,7,"Staff encouragement is good, but sometimes the day-to-day tasks steal time from personal goals."
4/22/2025,S-126704,Hillcrest School,school climate,8,"Overall supportive environment, but a couple of instructors could be more approachable with concerns."
5/7/2025,S-137809,Maple Leaf School,communication with school,7,"School notices reach me, yet discussions about issues happen too late to affect decisions."
7/19/2023,S-148920,Sunrise Institute,academic quality,6,"Coursework is fine, but the grading rubric sometimes feels unfairly strict."
8/30/2023,S-159310,Lakeside College,professor teachings,9,"Lectures are engaging and the professors are patient with questions, really helps my understanding."
9/12/2023,S-167204,Pine Valley School,sports facilities,6,Facilities are decent but the weight room smells funny and some machines are out of order.
8/6/2024,S-178940,Cedar Grove School,extracurricular activities,7,Clubs are fun but the signup process is a nightmare and info changes without notice.
9/11/2024,S-189321,Silver Oak School,personal motivation,8,"I like how mentors push me to set steps, even when I procrastinate."
10/29/2024,S-199503,Blue Horizon School,school climate,7,"Mostly supportive, but there are blind spots—some students feel unseen in class discussions."
3/12/2023,S-10457,Greenwood High School,academic quality,8,"Overall the courses are solid, but sometimes material moves too fast for new students."
4/2/2023,S-20483,Riverside Academy,professor teachings,9,"The professor explains things clearly most of the time, though a few lectures could use real-world examples."
9/15/2024,S-31876,Hillcrest School,sports facilities,7,"gym has decent gear, yet the courts feel dated and crowded after lunch."
11/21/2023,S-42011,Maple Leaf School,extracurricular activities,8,"Clubs are varied and accessible, though some events clash with study sessions."
2/7/2025,S-55123,Sunrise Institute,personal motivation,6,"I try, but the school push feels a bit generic and token at times."
7/19/2023,S-67234,Lakeside College,school climate,7,"The vibe is friendly, but midterms bring pockets of stress."
5/28/2024,S-78112,Pine Valley School,communication with school,8,"Emails are answered fairly quickly, but updates via the app would help."
12/1/2024,S-89945,Cedar Grove School,academic quality,9,Courses challenge me in a good way; teachers push us to think critically.
10/10/2023,S-93332,Silver Oak School,professor teachings,5,"Classroom discussions are okay, but the lecture pacing felt off this term."
1/18/2024,S-10244,Blue Horizon School,sports facilities,6,"Fields are fine for practice, but gym equipment sometimes misses parts."
8/3/2023,S-11258,Greenwood High School,extracurricular activities,9,There are clubs that fit my schedule and mentors who really support me.
6/9/2024,S-22377,Riverside Academy,personal motivation,7,"Incentives help a bit, but I want more personalized guidance from counselors."
9/30/2024,S-33466,Hillcrest School,school climate,8,"Students feel safe and heard, though there are occasional cliques in some halls."
5/14/2023,S-44564,Maple Leaf School,communication with school,7,"Messages reach me, but I sometimes miss important notices."
3/22/2024,S-55677,Sunrise Institute,academic quality,6,"The syllabus is solid, but some topics felt rushed near exams."
12/4/2023,S-66743,Lakeside College,professor teachings,10,Professors go beyond the book; they make topics feel alive.
1/30/2025,S-77889,Pine Valley School,sports facilities,8,"The new gym setup is great, but the track is a bit narrow for big groups."
9/25/2023,S-88990,Cedar Grove School,extracurricular activities,6,"I joined a club, but it didn’t meet my expectations this term."
2/11/2024,S-99101,Silver Oak School,personal motivation,7,"The vibe here helps me keep going, though I wish for more peer support groups."
8/17/2024,S-20212,Blue Horizon School,communication with school,9,"App notifications are on point and counselors reply fast, love the transparency."
2/14/2023,S-10234,Greenwood High School,academic quality,8,"The curriculum is solid, but pacing can feel rushed near finals."
3/9/2023,S-10487,Riverside Academy,professor teachings,9,"Most professors explain things clearly, though a few lectures wander off and get hard to track."
4/22/2023,S-10726,Hillcrest School,sports facilities,6,Facilities are decent but the gym mats are worn out and the weight room is a bit cramped.
5/15/2023,S-11003,Maple Leaf School,extracurricular activities,7,"There are lots of clubs, but sign-up is slow and some activities clash with others."
6/2/2023,S-11271,Sunrise Institute,personal motivation,8,Feeling more motivated lately thanks to mentors who check in and push us to set better goals.
7/19/2023,S-11544,Lakeside College,school climate,7,"Overall the vibe is positive, but a couple teachers seem tense and that rubs off on students."
8/11/2023,S-11860,Pine Valley School,communication with school,5,"Messages can get missed; I ask questions and wait days for a reply, which is frustrating."
9/30/2023,S-12198,Cedar Grove School,academic quality,9,"Challenging courses, but the homework helps me actually learn and not just chase grades."
10/24/2023,S-12451,Silver Oak School,professor teachings,10,Lectures are engaging and thought-provoking; I leave class with new ideas almost every time.
11/7/2023,S-12722,Blue Horizon School,sports facilities,4,"The facilities have issues—spots where the court is cracked and locker rooms smell odd, needs updating."
1/14/2024,S-12989,Greenwood High School,extracurricular activities,8,"Robotics and debate are well-organized, though inter-club days could use a better plan."
2/28/2024,S-13241,Riverside Academy,personal motivation,6,"Not every day feels the same; some days I’m stuck, other days I suddenly have a surge of energy."
3/18/2024,S-13576,Hillcrest School,school climate,6,Some classrooms feel chilly and formal; a warmer vibe would boost participation.
4/9/2024,S-13820,Maple Leaf School,communication with school,7,"Emails usually get replies, but follow-ups after meetings could be quicker."
5/25/2024,S-14067,Sunrise Institute,academic quality,7,"Overall it's good, but a few physics topics could use more real-world examples."
6/16/2024,S-14312,Lakeside College,professor teachings,5,"Some professors talk fast, and taking notes at the same time is tough."
7/31/2024,S-14588,Pine Valley School,sports facilities,9,"The gym and track are modern, and booking courts is easy most days."
8/22/2024,S-14840,Cedar Grove School,extracurricular activities,6,Clubs are interesting but the schedule clashes with exams sometimes.
9/14/2024,S-15107,Silver Oak School,communication with school,8,Staff are reachable and friendly; issues get sorted after a quick chat.
10/9/2024,S-15363,Blue Horizon School,academic quality,7,"The math track is solid, but algebra topics could be introduced earlier."
11/3/2024,S-15629,Greenwood High School,professor teachings,8,"Some lectures are inspiring; others feel a bit monotone, but the content is valuable."
3/15/2023,S-00001,Greenwood High School,academic quality,9,The curriculum is solid and helps me think critically.
4/22/2023,S-00002,Riverside Academy,professor teachings,8,"Professors explain concepts clearly most days, but a few lectures feel rushed."
5/18/2023,S-00003,Hillcrest School,sports facilities,7,"The gym is decent, though basketball courts get crowded after school."
6/10/2023,S-00004,Maple Leaf School,extracurricular activities,8,"There are a ton of clubs, but getting new ones approved can drag on for ages."
7/2/2023,S-00005,Sunrise Institute,personal motivation,6,"Some days I feel pumped, other days the workload just wears me out."
8/19/2023,S-00006,Lakeside College,school climate,9,The vibe is friendly; peers look out for each other and teachers are easy to talk to.
9/11/2023,S-00007,Pine Valley School,communication with school,7,"Emails get replies, yet important reminders sometimes slip through the gaps."
10/25/2023,S-00008,Cedar Grove School,academic quality,8,"Course content helps, though a few textbooks feel a bit outdated."
11/29/2023,S-00009,Silver Oak School,professor teachings,9,Lectures are engaging and the professor checks for understanding regularly.
